puuid1,sumLevel1,sumRank1,championName1,champMastery1,role1,teamid1,puuid2,sumLevel2,sumRank2,championName2,champMastery2,role2,teamid2,puuid3,sumLevel3,sumRank3,championName3,champMastery3,role3,teamid3,puuid4,sumLevel4,sumRank4,championName4,champMastery4,role4,teamid4,puuid5,sumLevel5,sumRank5,championName5,champMastery5,role5,teamid5,puuid6,sumLevel6,sumRank6,championName6,champMastery6,role6,teamid6,puuid7,sumLevel7,sumRank7,championName7,champMastery7,role7,teamid7,puuid8,sumLevel8,sumRank8,championName8,champMastery8,role8,teamid8,puuid9,sumLevel9,sumRank9,championName9,champMastery9,role9,teamid9,puuid10,sumLevel10,sumRank10,championName10,champMastery10,role10,teamid10,winningTeam

_x4EUrGJMEacCSG6CZfmCNIi4lqIae-AH8zsTo42nIJIQmBC1JuNM2QM2QUzcwyPQ7hLQfbcbMBI2Q,416,6.3,Sett,0,NONE,100,MHz56P2r3cAy9g2oRheTJ2Nr-NHqe_cbwPuwV75FsPXg-haihq33pmJziCDNwSBsJtaSH7bGS8R7ow,31,0.0,Rengar,0,NONE,100,Pbhv-6U-PuxABms-OfLbSCFrucndzjGrFWOzSfbrw846vyzwqWJCNc84VeaVgArUm9Hv71zzjdfTmg,278,5.4,Sylas,0,SOLO,100,qNJ9iIyaqX3-HkwhBvCpxYMoZCkLxq1c-JZGn_5eiZag0Yx9U05j4r3_z0QI2fd86mwvJncBCWd_Og,236,6.3,Twitch,0,CARRY,100,zgG6Jz3aOU6VRsWuIiYMGe9qYXeRZaiNliInV5jDXnISiD5GxYhQvUoneVWq89IDjraHkFykFY9AKA,377,5.2,Braum,0,SUPPORT,100,jicCYClsmZAQkUZf7JjIiABFBuUgR24IVEPC3MoZXev1cqbd92rMsPEEa3YcfygEudT2JLdhpOaPYA,55,0.0,Viego,0,SOLO,200,JE2OA4NhplDQq3vd_BR_zkMj17LTP3R9K2yq2zphdSOxAHQxrxtkeX6TMDctzveiae3p48FOPhW_Rg,393,0.0,TahmKench,0,NONE,200,PL7PHjNHD_eT9fvICfvJ5VbORmMDaIpskJEILhKbzfrqS7ejsF_5zcQPmqWoaFrnUZy_jU69UWJiaA,309,6.3,Jax,0,NONE,200,R4M1K3z1eYYlPcyyOTltdMOofXpux0_dAXBQ3CubM_zNL_D5QWkqCsnMPiqO5ZhWJsw90b7-BUlhqg,301,5.1,Ezreal,0,CARRY,200,KW0xIlu_nWoMPutLNmm1zB1m4QiLFqB5vuOyzpqv9cESQ4IiSpPESjEGk_tQODFqHRJfWI-FmZ3hSg,349,0.0,Nautilus,0,SUPPORT,200,0
ZO_MaaMy3ktgArH4iKWKnym77kJaPIBxXzfoUjQTIGLCTjRaMllnK5boc2SzRsV3sH6O_lbZgpCFkA,401,4.1,Neeko,0,NONE,100,ZxiEdXb_s_khh4BjzaDjSvsUcKFPvvbj7-ulkmDYwtCtijGqB3XPy8_0N7Ev7EEttzbw7WEIePFARA,469,6.3,Nocturne,0,NONE,100,_2TUqan_O4ug9BFxUW2kU9s5xugOg4MF7bI1tx6m2ASVVtqmHoUvzuSvygvNg8W7owJZ3bB_K4QX-Q,186,5.1,LeeSin,0,DUO,100,B-Nv86p8pTjPrUKgv9LHQaghJcoCObZureUirRkmYsx4iivs8kfDwx-EYmZoDVJMzJlOtgOIfBK3XA,348,4.1,Samira,0,DUO,100,WW7fD0KppYrWp-tSFeoaE3PJSRYJs6jLauU2TRBMo59QMphnH3oWZXCOCgzVGF4MHJywwck_xRo4bg,286,3.1,Nautilus,0,SUPPORT,100,DZ-Bi8V55N2D5iwdLNxjBy24oZlScythzmE3yWBwPFsZo6MOq_1aKPvrUIMpHwQmJs9nhfMMmWjCAQ,405,0.0,Gangplank,0,SOLO,200,X2fm7Z52ox__A9FJklYKgZ8fbZts73IdkHNNM1LROlf_k7V1uXo0kaq4zYVTl-mG8VHBF80mom6vCg,466,5.4,Graves,0,NONE,200,JE2OA4NhplDQq3vd_BR_zkMj17LTP3R9K2yq2zphdSOxAHQxrxtkeX6TMDctzveiae3p48FOPhW_Rg,393,0.0,Ryze,0,DUO,200,GHBfOTcy6GXiWVVEYpuX6yHfd_cG8BlefbUbGcjFWu8hnSNkX5kLtUns3zSpCV5XaLNnh0JBX6NybA,116,4.1,Ezreal,0,DUO,200,Tta0K0Biayn-2RJAA921R_kAdD-hXFmUug_Gj1c45UYjWK4JfEGGdvsAZaOye7Lox60hpUJO9K9A0A,398,5.2,Blitzcrank,0,SOLO,200,1
DZ-Bi8V55N2D5iwdLNxjBy24oZlScythzmE3yWBwPFsZo6MOq_1aKPvrUIMpHwQmJs9nhfMMmWjCAQ,405,0.0,Gangplank,0,SOLO,100,JE2OA4NhplDQq3vd_BR_zkMj17LTP3R9K2yq2zphdSOxAHQxrxtkeX6TMDctzveiae3p48FOPhW_Rg,393,0.0,MasterYi,0,NONE,100,TffB1X57ZcgK7v_uAcWa76CuleLjgSoRo-VV8e1G4ZhteA8ZzZcEEw2lMq5AKqP1Al8X8tGaMn2uaw,337,5.2,Qiyana,0,SOLO,100,GHBfOTcy6GXiWVVEYpuX6yHfd_cG8BlefbUbGcjFWu8hnSNkX5kLtUns3zSpCV5XaLNnh0JBX6NybA,116,4.1,Velkoz,0,CARRY,100,ENOt-XnQOX-N4K5X42VxYKxvyFL3W1XbO21EcJQtCRCNw5LLkWKP3KwsBDlXchbxNfYYdU9OD_IekQ,299,3.2,Rell,0,SUPPORT,100,qEaJgR70nw7RLUmw3UUGBXGheoCEecpUqR5jjviXLGR7LqaREgC69-Ce9p8El_SONQUnr03P8nYHmg,409,0.0,Jax,0,SOLO,200,U_WRLFPCW3FRJUKe8gyOVc3EnTA7AGpL2YNZbP9STpA9gR3Pski1tiJkJ4PW7Z0ntytFMrPS1xTUtA,248,0.0,DrMundo,0,NONE,200,hhHtFS5TZHoUSFkRbgj2Z4yvBPqDxtDG69LqE-M-ZzC7mXGWVNZ1ewP39PURpD3FbEBwBNyUyL-GDA,221,5.4,MonkeyKing,0,SOLO,200,fOSnwH-RMHYZUJu8yZiC7XvmlW-6aUNofj2SkyBfjz_V2B02MOOEqJsqi7g0pfJDGRmGYR6ROElbgw,261,4.4,Tristana,0,CARRY,200,DouzCBgxXf2_noTi9OuJsoGioBoLT1ka_o3_p6QEgNgxREHuwl4KFkV4Vrhy4ETL9vudDoHtjXYr-Q,234,0.0,Blitzcrank,0,SUPPORT,200,1
uOxJwV2o31MB5a-Hox8OdV5B79lEcZLMW4hhwLcfeoMRdpf-HnewkWoxodiyxFGGdyKN8QK5D5xvFg,387,5.3,Sett,0,SUPPORT,100,zPCQ7G6A1HFy83km_i8o6jvMoyi5mnVCkHttU_2ftrGVpKaUTE9x639SVWekYMAQqPWPt_lIzMrDoQ,456,6.4,Khazix,0,SUPPORT,100,L2N_mlNYaRXH2-lTV2V4Y2PgChKjEEx6nmWUCMf55bJt81nDeE0d3yAEvSHazE8atbnwmOiOJV0hxA,235,3.1,Neeko,0,DUO,100,VgpA70tFAF_I_kLuR-cWXkuKsqz1vvhoc4nDgrZS1tky4tnGm5WYXMzrS_k8B6MQ-y5QeCTRkBPIUg,369,5.4,Aphelios,0,SUPPORT,100,DQ4L0ZdlTo6hNkHQvhRUe1N2sOCca9QvPgGmWPl08WFr0uY7vqDYcUkbd1gwKpR4fLIzbQHhW-D9Nw,431,6.3,Blitzcrank,0,SUPPORT,100,mRPWgSjmyvFvpTPiNUkuNe3B-SFb0eS-xAGXilsgow2IPeuUz0Oy3rcWkgVg9XK3N9PBZdPL0g8vvQ,458,6.2,Fiora,0,SUPPORT,200,3uYhgzIQwRtppVdEvM_JvwF1tZE8dYrRCsuWFsyJDbMkKUf4Vj5usMs1NEb7Z0TuZ4EDUV18-J5agg,325,0.0,Ezreal,0,SUPPORT,200,KW0xIlu_nWoMPutLNmm1zB1m4QiLFqB5vuOyzpqv9cESQ4IiSpPESjEGk_tQODFqHRJfWI-FmZ3hSg,349,0.0,Zilean,0,SUPPORT,200,JE2OA4NhplDQq3vd_BR_zkMj17LTP3R9K2yq2zphdSOxAHQxrxtkeX6TMDctzveiae3p48FOPhW_Rg,393,0.0,Kaisa,0,SUPPORT,200,uOsqvhF_aEdJFcxDEAFG5NK9J71R6QMXK2hybFdnEp-WmkRKLAF2iE5BVPRSY2zWizBZoiMi_ylmsg,444,4.3,Rell,0,SUPPORT,200,1
HO1UxTb_JBQlIBDUPVD2f_o_tU6zwO0sY-XTeaBu5dX5irW5vZ_H-GmchNvRrL1QhSrrk8dZ2gemKg,268,3.1,Jax,0,SOLO,100,KW0xIlu_nWoMPutLNmm1zB1m4QiLFqB5vuOyzpqv9cESQ4IiSpPESjEGk_tQODFqHRJfWI-FmZ3hSg,349,0.0,Ivern,0,NONE,100,3uYhgzIQwRtppVdEvM_JvwF1tZE8dYrRCsuWFsyJDbMkKUf4Vj5usMs1NEb7Z0TuZ4EDUV18-J5agg,325,0.0,Vayne,0,SOLO,100,JE2OA4NhplDQq3vd_BR_zkMj17LTP3R9K2yq2zphdSOxAHQxrxtkeX6TMDctzveiae3p48FOPhW_Rg,393,0.0,Samira,0,CARRY,100,uOsqvhF_aEdJFcxDEAFG5NK9J71R6QMXK2hybFdnEp-WmkRKLAF2iE5BVPRSY2zWizBZoiMi_ylmsg,444,4.3,Pyke,0,SUPPORT,100,pkGdlYud-3FZhD9MOmaU3ObsyDkOoDZ_7XgIoip9ZlYtSmkjUAvPm7MKZNFuJrSOg_haoUH2FyuJdA,453,5.1,Kayle,0,SOLO,200,zOkrKfSG5vOac0XaImpAWtbtE4WlzJJ4sCE8zEtedFrxNY7QcGrREuSnyiRNCyKOICXKW_iyV7wlbQ,320,4.1,Tryndamere,0,NONE,200,1ZULmQxhuvm3EMCQ99VGzXlcbHx2ify2-0ne0TseBZ7Y1NcVt6Wb3fl5A9itTFxNT_nXG-_BRkvTqA,276,4.2,Zed,0,SOLO,200,lie4h5tz-bh3XRCx4Wc2lMBt1hgyqE1pkMrWNsOrbCD1IcjV2u2J0t6-wAn1cExHUzsPb0XKDM4vhg,388,4.2,Ezreal,0,CARRY,200,_0dCdSUlLQeaPQ7cvfxo0Jy8iDJwxo2GwoVaiPlNEHWp8jvHZXAYYYttZU2wzLXW3ZwFt3zJ3qrbPA,177,5.1,Karma,0,SUPPORT,200,1
hXC_eQYeGVaDy-BeGebtOwy1A-V9DJnPI_T44daGSPsXk9GWkrLDDHnVUuUzZLVjkwKVDIIpv22cPQ,561,6.3,Gwen,0,SOLO,100,3Tkgub0wggasVs_VisZqpvt7jEFREYuFh_c5ryR0rTT5bkpyVOEH9mpA93nkt2iuaqpqPelEWLD7Zg,452,7.1,Khazix,0,NONE,100,8zv1s7t3BBom5S496ulP_j2tOlDsMbFFukuMmXzbLZ3pQv6LmSeStfCdbrKlnY0o7ZIjJtlmHsbWzA,319,5.1,Viego,0,SOLO,100,Brp5HTPlclw9kcYSYFrk-Y09yKJYjlS1cjLpshDiUsM7WZ49_KmPbdeLljDFi3J8n0MQbVj-UE4V5Q,407,5.1,Ezreal,0,CARRY,100,sdDSTzn-1XQWJMu9OrajCK_feTPoFt2fDl4NBBflAQ8epmP28ABQkhJ9TdZEdhxBynk7SIU_uO5_aQ,278,5.1,Thresh,0,SUPPORT,100,C0vhu_DA3F1LrRrxXswuiDjw6yyDil5MRlAp73TDxmS94uE-JwgK_Bs5yA4baZVclg6bwpDlHPaJtA,508,7.1,Darius,0,SOLO,200,JE2OA4NhplDQq3vd_BR_zkMj17LTP3R9K2yq2zphdSOxAHQxrxtkeX6TMDctzveiae3p48FOPhW_Rg,393,0.0,Nocturne,0,NONE,200,3uYhgzIQwRtppVdEvM_JvwF1tZE8dYrRCsuWFsyJDbMkKUf4Vj5usMs1NEb7Z0TuZ4EDUV18-J5agg,325,0.0,Lux,0,DUO,200,R4M1K3z1eYYlPcyyOTltdMOofXpux0_dAXBQ3CubM_zNL_D5QWkqCsnMPiqO5ZhWJsw90b7-BUlhqg,301,5.1,Tristana,0,DUO,200,KW0xIlu_nWoMPutLNmm1zB1m4QiLFqB5vuOyzpqv9cESQ4IiSpPESjEGk_tQODFqHRJfWI-FmZ3hSg,349,0.0,Leona,0,SOLO,200,1
3Tkgub0wggasVs_VisZqpvt7jEFREYuFh_c5ryR0rTT5bkpyVOEH9mpA93nkt2iuaqpqPelEWLD7Zg,452,7.1,Teemo,0,SUPPORT,100,hXC_eQYeGVaDy-BeGebtOwy1A-V9DJnPI_T44daGSPsXk9GWkrLDDHnVUuUzZLVjkwKVDIIpv22cPQ,561,6.3,LeeSin,0,SUPPORT,100,8zv1s7t3BBom5S496ulP_j2tOlDsMbFFukuMmXzbLZ3pQv6LmSeStfCdbrKlnY0o7ZIjJtlmHsbWzA,319,5.1,Viego,0,DUO,100,Brp5HTPlclw9kcYSYFrk-Y09yKJYjlS1cjLpshDiUsM7WZ49_KmPbdeLljDFi3J8n0MQbVj-UE4V5Q,407,5.1,Ezreal,0,SUPPORT,100,sdDSTzn-1XQWJMu9OrajCK_feTPoFt2fDl4NBBflAQ8epmP28ABQkhJ9TdZEdhxBynk7SIU_uO5_aQ,278,5.1,Thresh,0,SUPPORT,100,C0vhu_DA3F1LrRrxXswuiDjw6yyDil5MRlAp73TDxmS94uE-JwgK_Bs5yA4baZVclg6bwpDlHPaJtA,508,7.1,DrMundo,0,SUPPORT,200,JE2OA4NhplDQq3vd_BR_zkMj17LTP3R9K2yq2zphdSOxAHQxrxtkeX6TMDctzveiae3p48FOPhW_Rg,393,0.0,Nocturne,0,SUPPORT,200,3uYhgzIQwRtppVdEvM_JvwF1tZE8dYrRCsuWFsyJDbMkKUf4Vj5usMs1NEb7Z0TuZ4EDUV18-J5agg,325,0.0,Jayce,0,SUPPORT,200,R4M1K3z1eYYlPcyyOTltdMOofXpux0_dAXBQ3CubM_zNL_D5QWkqCsnMPiqO5ZhWJsw90b7-BUlhqg,301,5.1,Tristana,0,SUPPORT,200,KW0xIlu_nWoMPutLNmm1zB1m4QiLFqB5vuOyzpqv9cESQ4IiSpPESjEGk_tQODFqHRJfWI-FmZ3hSg,349,0.0,Nautilus,0,SUPPORT,200,1
LHgVussQbmnZU3djAhABhZpz0hQ2fWVvDRMKdFTuJIDr3jUPG-GmI_GaO02PDCmPTotkANgi3fJx7g,30,0.0,Tristana,0,SOLO,100,vE3-8Oa_BKfD7G8OAtZ3H4W8qSXN3dxyVVn-kfAT3WTDpPiapiDjVdpYi2q7MwJ3o3uZarvxQJUWbw,30,0.0,Rengar,0,NONE,100,O_hFPXYo1hutMNHN33QfTkcfofIpwkrwZctZjHipqKMYi9R2twFc6dQ1ZJ1N_P0LtrhlpGpGqsjs_Q,30,0.0,Sylas,0,SOLO,100,0Ize49BCguJgRjZsXePm4vT3SFWzEEsTeu5SvmGWQmhm_x-Q36q_zGgLmhIKrtp9XlfkaFtOTe0Msg,30,0.0,Ezreal,0,CARRY,100,xWFTvI-vELnKt-sf8jV61pLBPxgnoiv2i6sgVl0RPID5kqa2-rFoN3KN0whjeGouLLUNMxffPLNw-Q,28,0.0,Yuumi,0,SUPPORT,100,FadAyz4qwqk9leBpR6y06LCE-LtA1nWv3W8bCPue8i2QVB2zuIfpl3syUQ8_FEmUvKfHCCIY_1FQAA,290,0.0,Anivia,0,SOLO,200,JE2OA4NhplDQq3vd_BR_zkMj17LTP3R9K2yq2zphdSOxAHQxrxtkeX6TMDctzveiae3p48FOPhW_Rg,393,0.0,Nocturne,0,NONE,200,3uYhgzIQwRtppVdEvM_JvwF1tZE8dYrRCsuWFsyJDbMkKUf4Vj5usMs1NEb7Z0TuZ4EDUV18-J5agg,325,0.0,Jayce,0,SOLO,200,R4M1K3z1eYYlPcyyOTltdMOofXpux0_dAXBQ3CubM_zNL_D5QWkqCsnMPiqO5ZhWJsw90b7-BUlhqg,301,5.1,Kaisa,0,CARRY,200,KW0xIlu_nWoMPutLNmm1zB1m4QiLFqB5vuOyzpqv9cESQ4IiSpPESjEGk_tQODFqHRJfWI-FmZ3hSg,349,0.0,Nautilus,0,SUPPORT,200,1
yS68lRI1GLrKQ7RjD4kykvIXOcLLfW3flNtKpkSJ2y24eChQyciKTOcwxWTuZoQRt38jZGfiBz589A,34,4.3,Sion,0,SUPPORT,100,SfdoUGaLeBdnxGpFiLZ2HPEGi0IGaOHFUeAsMx1x-55Mlz0XxHxYQcU_3pJRoPMtC0isQ_tCbmVvRA,312,4.1,Ekko,0,SUPPORT,100,7MqfHtCBKBZqf-WLEjvAIhwsoxfMoaaDyacinOyh1ctlaQ3jj1kq4XCm8oqbJnPL8egtR3lswEHAIw,112,5.1,Yone,0,DUO,100,0YoWFZI31_N3QDxnV7-bzvzNDurRHQxsJXuWLBGoKAP8DYzYbTdTUYvcSsCP7daebxIMtQi82b9Hwg,36,4.4,Caitlyn,0,SUPPORT,100,pBXJNR_Srg6xUdaGgiM9Yz9y2bl2CXbENkVUtY-AqX4aWMbKhyeQVH-ZRUdagzM55DmlFysY2bJnAw,31,3.2,Senna,0,SUPPORT,100,HO1UxTb_JBQlIBDUPVD2f_o_tU6zwO0sY-XTeaBu5dX5irW5vZ_H-GmchNvRrL1QhSrrk8dZ2gemKg,268,3.1,Volibear,0,SUPPORT,200,JE2OA4NhplDQq3vd_BR_zkMj17LTP3R9K2yq2zphdSOxAHQxrxtkeX6TMDctzveiae3p48FOPhW_Rg,393,0.0,Nocturne,0,SUPPORT,200,3uYhgzIQwRtppVdEvM_JvwF1tZE8dYrRCsuWFsyJDbMkKUf4Vj5usMs1NEb7Z0TuZ4EDUV18-J5agg,325,0.0,LeeSin,0,SUPPORT,200,R4M1K3z1eYYlPcyyOTltdMOofXpux0_dAXBQ3CubM_zNL_D5QWkqCsnMPiqO5ZhWJsw90b7-BUlhqg,301,5.1,Ezreal,0,SUPPORT,200,TLYAFkcqa6F0dbL_ZB9lxoEV0IZCp6AUFqs1XxAYmA_fw6UbFBj97F8Moxc43L50nB9AKXwDW3oxQw,32,4.2,Nasus,0,SUPPORT,200,1
